Date,From,To,Flight_Number,Airline,Distance,Duration,Seat,Seat_Type,Class,Reason,Plane,Registration,Trip,Note,From_OID,To_OID,Airline_OID,Plane_OID
- -,YYZ,GRU,Air Canada (AC),Air Canada,5088,10:40,,,,,763,,,"Direct",193,2564,330
- -,YYZ,GRU,TAM Brazilian Airlines (JJ),TAM Brazilian Airlines,5088,10:40,,,,,763,,,"Codeshare",193,2564,4867
- -,YYZ,HAV,Air Canada (AC),Air Canada,1437,03:22,,,,,E90,,,"Direct",193,1909,330
- -,YYZ,HKG,Air Canada (AC),Air Canada,7792,16:05,,,,,77L,,,"Direct",193,3077,330
- -,YYZ,HKG,Cathay Pacific (CX),Cathay Pacific,7792,16:05,,,,,77W,,,"Direct",193,3077,1680
- -,YYZ,HOG,Air Canada (AC),Air Canada,1592,03:41,,,,,319,,,"Direct",193,1910,330
- -,YYZ,HOG,Air Transat (TS),Air Transat,1592,03:41,,,,,738,,,"Codeshare",193,1910,1317
- -,YYZ,IAD,Air Canada (AC),Air Canada,345,01:11,,,,,CRJ ERJ CR7,,,"Codeshare",193,3714,330
- -,YYZ,IAD,United Airlines (UA),United Airlines,345,01:11,,,,,CRJ ERJ CR7 DH4,,,"Codeshare",193,3714,5209
- -,YYZ,IAH,Air Canada (AC),Air Canada,1279,03:03,,,,,CRA,,,"Codeshare",193,3550,330
- -,YYZ,IAH,United Airlines (UA),United Airlines,1279,03:03,,,,,CR7 CRA ERJ,,,"Codeshare",193,3550,5209
- -,YYZ,ICN,Korean Air (KE),Korean Air,6593,13:41,,,,,772,,,"Direct",193,3930,3163
- -,YYZ,IND,Air Canada (AC),Air Canada,438,01:22,,,,,CRJ,,,"Codeshare",193,3585,330
- -,YYZ,ISL,Air Canada (AC),Air Canada,5091,10:40,,,,,77W 763,,,"Direct",193,1701,330
- -,YYZ,ISL,Turkish Airlines (TK),Turkish Airlines,5091,10:40,,,,,77W 763,,,"Direct",193,1701,4951
- -,YYZ,JED,Saudi Arabian Airlines (SV),Saudi Arabian Airlines,6486,13:28,,,,,777,,,"Direct",193,2072,4533
- -,YYZ,JFK,American Airlines (AA),American Airlines,365,01:13,,,,,CR7,,,"Codeshare",193,3797,24
- -,YYZ,JFK,Air Canada (AC),Air Canada,365,01:13,,,,,CRA,,,"Codeshare",193,3797,330
- -,YYZ,JFK,Finnair (AY),Finnair,365,01:13,,,,,CR7,,,"Codeshare",193,3797,2350
- -,YYZ,JFK,Delta Air Lines (DL),Delta Air Lines,365,01:13,,,,,CR7 ERJ,,,"Direct",193,3797,2009
- -,YYZ,JFK,US Airways (US),US Airways,365,01:13,,,,,CR7,,,"Direct",193,3797,5265
- -,YYZ,JFK,WestJet (WS),WestJet,365,01:13,,,,,CR7 CRJ ERJ,,,"Direct",193,3797,5416
- -,YYZ,KEF,Icelandair (FI),Icelandair,2590,05:40,,,,,75W,,,"Direct",193,16,2835
- -,YYZ,KHI,Pakistan International Airlines (PK),Pakistan International Airlines,7247,14:59,,,,,777,,,"Direct",193,2206,3871
- -,YYZ,KIN,Air Canada (AC),Air Canada,1785,04:04,,,,,319,,,"Direct",193,1779,330
- -,YYZ,KIN,Caribbean Airlines (BW),Caribbean Airlines,1785,04:04,,,,,738,,,"Direct",193,1779,1663
- -,YYZ,KIN,Overland Airways (OJ),Overland Airways,1785,04:04,,,,,752,,,"Direct",193,1779,3826
- -,YYZ,KIN,WestJet (WS),WestJet,1785,04:04,,,,,73H,,,"Direct",193,1779,5416
- -,YYZ,LAS,American Airlines (AA),American Airlines,1937,04:22,,,,,737,,,"Direct",193,3877,24
- -,YYZ,LAS,Air Canada (AC),Air Canada,1937,04:22,,,,,763 319,,,"Direct",193,3877,330
